DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2000,0.12,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.20,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2001,0.12,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.21,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2002,0.12,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.21,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2003,0.12,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.21,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2004,0.11,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.20,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2005,0.11,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.19,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2006,0.11,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.19,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2007,0.11,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.19,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2008,0.10,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.18,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2009,0.10,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.18,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2010,0.11,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.19,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2011,0.11,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.19,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2012,0.11,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.19,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2013,0.10,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.18,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2014,0.10,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.05,0.18,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2015,0.10,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.04,0.17,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2016,0.09,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.04,0.17,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2017,0.09,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.04,0.16,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2018,0.09,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.04,0.16,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_EAP: East Asia and Pacific,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2019,0.09,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.04,0.16,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2000,0.26,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.11,0.53,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2001,0.26,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.11,0.53,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2002,0.26,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.11,0.52,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2003,0.25,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.11,0.50,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2004,0.24,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.10,0.48,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2005,0.22,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.10,0.45,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2006,0.21,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.09,0.43,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2007,0.21,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.09,0.42,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2008,0.20,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.09,0.40,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2009,0.19,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.09,0.39,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2010,0.19,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.09,0.39,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2011,0.19,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.09,0.39,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2012,0.19,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.08,0.39,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2013,0.19,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.08,0.38,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2014,0.19,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.08,0.38,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2015,0.19,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.08,0.38,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2016,0.18,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.08,0.37,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_LAC: Latin America and Caribbean,"HVA_EPI_INF_RT_10-19: Estimated incidence rate (new HIV infection per 1,000 uninfected population, adolescents aged 10-19 years)",_T: Total,2017,0.18,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,0.08,0.37,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
