DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2000,5.85,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,3.69,9.47,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2001,5.71,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,3.61,9.25,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2002,5.56,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,3.51,9.00,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2003,5.37,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,3.39,8.69,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2004,5.15,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,3.25,8.33,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2005,4.87,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,3.08,7.90,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2006,4.60,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,2.91,7.45,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2007,4.18,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,2.64,6.78,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2008,3.73,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,2.36,6.04,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2009,3.28,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,2.07,5.31,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2010,2.90,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,1.83,4.69,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_ESA: Eastern and Southern Africa,"HVA_EPI_INF_RT_0-14: Estimated incidence rate (new HIV infection per 1,000 uninfected population, children aged 0-14 years)",_T: Total,2011,2.38,0: Units,"RATE_1000: Rate per 1,000 of Population",E: Estimated value,F: Free,1.50,3.86,,,Data from Global AIDS Monitoring and UNAIDS estimates are published by UNAIDS in collaboration with UNICEF and WHO. More data can be found at http://aidsinfo.unaids.org/.,UNAIDS 2022 estimates,http://aidsinfo.unaids.org/,,,,2000 to 2021,_T: Total
