Entity,Code,Year,New HIV Infections averted due to PMTCT,New HIV Infections - children (aged 0-14) 
World,OWID_WRL,1990,0.45732,169698
World,OWID_WRL,1991,67.7761,200737
World,OWID_WRL,1992,77.1069,234248
World,OWID_WRL,1993,1337.85,268791
World,OWID_WRL,1994,1348.17,305975
World,OWID_WRL,1995,1348.59,343119
World,OWID_WRL,1996,1513.49,377665
World,OWID_WRL,1997,1603.46,407411
World,OWID_WRL,1998,1710.33,431602
World,OWID_WRL,1999,1812.98,449573
World,OWID_WRL,2000,2684.22,461065
World,OWID_WRL,2001,6278.89,464936
World,OWID_WRL,2002,7245.79,467637
World,OWID_WRL,2003,11246,462015
World,OWID_WRL,2004,19385.1,448204
World,OWID_WRL,2005,31653,429676
World,OWID_WRL,2006,44806.6,410261
World,OWID_WRL,2007,67214.6,384580
World,OWID_WRL,2008,89456.2,358580
World,OWID_WRL,2009,133045,324225
World,OWID_WRL,2010,164146,296858
World,OWID_WRL,2011,179101,273670
World,OWID_WRL,2012,199093,247942
World,OWID_WRL,2013,217028,220411
World,OWID_WRL,2014,253966,187207
World,OWID_WRL,2015,270913,171129
World,OWID_WRL,2016,271544,158121
